version,step,field,orilevel,newlevel
2016,pre,hr,10:00 - 11:00 am,10
2016,pre,hr,11:00 - 12:00 pm,11
2016,pre,hr,11:00 am - 12:00 pm,11
2016,pre,hr,12:00 pm - 1:00 pm,12
2016,pre,hr,1:00 - 2:00 pm,13
2016,pre,hr,2:00 - 3:00 pm,14
2016,pre,hr,3:00 - 4:00 pm,15
2016,pre,hr,4:00 - 5:00 pm,16
2016,pre,hr,5:00 - 6:00 pm,17
2016,pre,hr,6:00 - 6:30 pm,18
2016,pre,hr,6:30 - 7:00 pm,18.5
2016,pre,hr,7:00 - 8:00 pm,19
2016,pre,hr,8:00 - 9:00 pm,20
2016,pre,hr,After 9:00 pm,21
2016,pre,access,Walk,walk
2016,pre,access,Drove alone and parked,drive
2016,pre,access,"Wheelchair, walker, motorized cart",walk
2016,pre,access,Drove or rode with others and parked,drive
2016,pre,access,Shuttle Bus,drive
2016,pre,access,Bike,bike
2016,pre,access,Was dropped off by someone,drive
2016,pre,access,Car share,drive
2016,pre,access,Taxi,drive
2016,pre,access,Dial-a-Ride,drive
2016,pre,access,"Uber, Lyft, etc.",drive
2016,pre,access,Skateboard,walk
2016,pre,egress,Walk,walk
2016,pre,egress,"Wheelchair, walker, motorized cart",walk
2016,pre,egress,Was picked up by someone,drive
2016,pre,egress,Bike,bike
2016,pre,egress,Got in parked car and drove alone,drive
2016,pre,egress,Taxi,drive
2016,pre,egress,Car share,drive
2016,pre,egress,Drove or rode with others and parked,drive
2016,pre,egress,"Uber, Lyft, etc.",drive
2016,pre,egress,Shuttle Bus,drive
2016,pre,egress,Scooter / Motorcycle,bike
2016,pre,egress,Skateboard,walk
2016,pre,egress,Dial-a-Ride,drive
2022,post,season,Fall/Spring,fallspring
2022,post,season,Summer,summer
2022,post,purO,Your HOME / place I am staying,home
2022,post,purO,College / University (students only),school
2022,post,purO,Work,work
2022,post,purO,Friend's house/Social visit/religious/community activity,social
2022,post,purO,"Dining out / getting coffee, or take-out",other
2022,post,purO,Sporting or Special Event,other
2022,post,purO,Shopping / errand / other appointment (e.g. haircut),shopping
2022,post,purO,Airport (passengers only),other
2022,post,purO,"Medical appointment (doctor, clinic, hospital) non-work",other
2022,post,purO,School (K-12) (students only),school
2022,post,purO,Other,other
2022,post,purD,Work,work
2022,post,purD,College / University (students only),school
2022,post,purD,Your HOME / place I am staying,home
2022,post,purD,Sporting or Special Event,other
2022,post,purD,Friend's house/Social visit/religious/community activity,social
2022,post,purD,Shopping / errand / other appointment (e.g. haircut),shopping
2022,post,purD,"Dining out / getting coffee, or take-out",other
2022,post,purD,Airport (passengers only),other
2022,post,purD,"Medical appointment (doctor, clinic, hospital) non-work",other
2022,post,purD,School (K-12) (students only),school
2022,post,purD,Other,other
2022,post,plan,Regular known trip,known
2022,post,plan,Just went to stop / station,couldhave
2022,post,plan,Used a printed or posted schedule,nonweb
2022,post,plan,Texted for Transit Information (612-444-1161),nonweb
2022,post,plan,Called Transit Info Center (612-373-3333),web
2022,post,realtime,Yes,1
2022,post,realtime,No,0
2022,post,HHcomp,One (1),1
2022,post,HHcomp,None (0),0
2022,post,HHcomp,Two (2),1
2022,post,HHcomp,Three (3),1
2022,post,HHcomp,Ten or more (10+),1
2022,post,HHcomp,Four (4),1
2022,post,HHcomp,Five (5),1
2022,post,HHcomp,Six (6),1
2022,post,HHcomp,Seven (7),1
2022,post,access,"Walk, jog, or roll using a mobility device (e.g. wheelchair)",walk
2022,post,access,Was dropped off by someone,drive
2022,post,access,Drove alone and parked,drive
2022,post,access,"Uber, Lyft, Taxi (smartphone ride hailing)",drive
2022,post,access,Drove or rode with others and parked,drive
2022,post,access,My bike / e-bike / scooter / skateboard,bike
2022,post,access,"Shared bike / e-bike / scooter (e.g. Nice Ride, Bird, Lime)",bike
2022,post,access,Other,drive
2022,post,egress,"Walk, jog, or roll using a mobility device (e.g. wheelchair)",walk
2022,post,egress,Get in a parked vehicle & drive alone,drive
2022,post,egress,Be picked up by someone,drive
2022,post,egress,My bike / e-bike / scooter / skateboard,bike
2022,post,egress,Get in a parked vehicle & drive/ride with others,drive
2022,post,egress,"Uber, Lyft, Taxi (smartphone ride hailing)",drive
2022,post,egress,"Shared bike / e-bike / scooter (e.g. Nice Ride, Bird, Lime)",bike
2022,post,egress,Other,drive
2022,post,oppo,Yes,1
2022,post,oppo,Yes - but will not use the bus/rail,0
2022,post,oppo,No,0
2022,post,male,No,0
2022,post,male,Yes,1
2022,post,female,No,0
2022,post,female,Yes,1
2022,post,white,Yes,1
2022,post,white,No,0
2022,post,visitor,No,0
2022,post,visitor,Yes,1
2022,post,worktype,Telework some days and travel to a work for remainder,partialT
2022,post,worktype,Only one work location (outside of home),fullO
2022,post,worktype,Work location is outside of home and regularly varies (different offices/jobsites),unfixed
2022,post,worktype,Work only from home (self-employed / telework),fullT
2022,post,worktype,Refused/No Answer,unemp
2022,post,worktype,"Drive/bike/travel for work (driver, sales, deliveries)",unfixed
2022,post,stu,Not a student,no
2022,post,stu,Yes - Full-time College / University / Trade School student,full
2022,post,stu,Yes - Part-time College / University / Trade School student,part
2022,post,stu,Other,part
2022,post,stu,Yes - High School (9th-12th grade),K12
2022,post,stu,Yes - K-8th grade,K12
2022,post,stu,Refused/No Answer,no
2022,post,eng,Very well,fluent
2022,post,eng,Well,well
2022,post,eng,Less than well,limited
2022,post,eng,Not at all,limited
2022,post,eng,Refused/No Answer,fluent
2022,post,age,65 - 74,65
2022,post,age,18 - 24,18
2022,post,age,25 - 34,25
2022,post,age,35 - 44,35
2022,post,age,45 - 54,45
2022,post,age,55 - 64,55
2022,post,age,75 and over,75
2022,post,age,Prefer not to answer,25
2022,post,age,16 - 17,16
2022,post,age,45427,5
2022,post,age,15-May,5
2022,post,age,Under 5,0
2022,post,income,"$60,000 - $79,999",60
2022,post,income,"$100,000 - $149,999",100
2022,post,income,Refused/No Answer,-50
2022,post,income,"$35,000 - $59,999",35
2022,post,income,"Less than $15,000",0
2022,post,income,"$25,000 - $34,999",25
2022,post,income,"$15,000 - $24,999",15
2022,post,income,"$80,000 - $99,999",80
2022,post,income,"$200,000 or more",200
2022,post,income,"$150,000 - $199,999",150
2022,post,disability,No,0
2022,post,disability,Prefer not to say,0
2022,post,disability,Yes,1
2022,post,oppotime,Before 6:00 am,5
2022,post,oppotime,6:00 am - 7:00 am,6
2022,post,oppotime,7:00 am - 8:00 am,7
2022,post,oppotime,8:00 am - 9:00 am,8
2022,post,oppotime,9:01 am - 10:00 am,9
2022,post,oppotime,10:00 am - 11:00 am,10
2022,post,oppotime,11:00 am - 12:00 pm,11
2022,post,oppotime,12:00 pm - 1:00 pm,12
2022,post,oppotime,1:00 pm - 2:00 pm,13
2022,post,oppotime,2:00 pm - 3:00 pm,14
2022,post,oppotime,3:01 pm - 4:00 pm,15
2022,post,oppotime,4:00 pm - 5:00 pm,16
2022,post,oppotime,5:00 pm - 6:00 pm,17
2022,post,oppotime,6:00 pm - 6:30 pm,18
2022,post,oppotime,6:31 pm - 7:00 pm,18.5
2022,post,oppotime,7:00 pm - 8:00 pm,19
2022,post,oppotime,8:00 pm - 9:00 pm,20
2022,post,oppotime,After 9:00 pm,21
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
