,Model22,Model51,Model57,Model66,Model156,Model178,Model217,Model222,Model316,Model378,Model404,Model424,Model488,Model500,Model617,Model631,tr
183,0.153129041,0.994885266,0.471246243,1.88E-05,0.995116115,0.168882176,0.241103053,0.207112908,0.206122473,0.886528075,0.156231627,0.777387917,0.179470703,0.357661456,0.199790284,0.574683845,0
184,0.153053239,0.095130585,0.479148716,0.03559887,0.172703832,0.169011071,0.136112362,0.207111239,0.206678674,0.257602155,0.156331256,0.184541285,0.179476038,0.357585102,0.19979167,0.299654365,1
185,0.153050914,0.01740622,0.483831495,0.000244949,0.172698855,0.168916255,0.136122853,0.207113057,0.206176132,0.253558546,0.156249344,0.18454057,0.179466113,0.358755261,0.199787483,0.299654037,1
186,0.153048694,0.004903209,0.473159343,0.078399718,0.459471375,0.168883055,0.323322207,0.207113385,0.20605725,0.275050879,0.261298776,0.184540644,0.179470569,0.357668936,0.199793383,0.32835415,1
187,0.794090331,0.593050599,0.479632229,0.000568875,0.610299706,0.201630533,0.49827534,0.603464007,0.534712851,0.26052925,0.657444715,0.374350667,0.397769481,0.536143959,0.609449387,0.552687407,1
188,0.153089434,0.001456661,0.497528523,1.04E-07,0.172682539,0.16890122,0.136120036,0.20710583,0.206144109,0.253558338,0.155670047,0.184541166,0.179452389,0.358635426,0.199783847,0.29965359,1
195,0.269795984,0.223260537,0.478502959,0.000502837,0.172705129,0.168943807,0.136118814,0.207113415,0.20601514,0.992210627,0.486379206,0.18454127,0.179447234,0.35746181,0.199792311,0.299654365,0
201,0.285691082,0.032107338,0.475395769,2.78E-06,0.172695115,0.168914914,0.142456219,0.433919311,0.572556138,0.253558666,0.157375202,0.18454048,0.179457873,0.357533038,0.199792489,0.376950711,1
241,0.891460419,0.13489078,0.565599084,0.000835736,0.927855194,0.884228885,0.976918995,0.41819936,0.960947096,0.264900476,0.610999465,0.780634642,0.923613429,0.738399565,0.835749567,0.376931012,0
243,0.284200549,0.039283127,0.484102666,0.000299482,0.172705129,0.168948576,0.136110753,0.215127081,0.20672971,0.253558338,0.172291785,0.184541285,0.179454818,0.357265085,0.199792087,0.299654186,1
265,0.153053388,0.018270124,0.480408847,0.009826706,0.172705129,0.168866351,0.136120558,0.207112908,0.206253082,0.262981236,0.156330049,0.18454124,0.179458737,0.358084232,0.199785203,0.299654335,1
266,0.996334791,0.076529957,0.50990653,8.95E-05,0.193877563,0.168900535,0.231093675,0.362165451,0.206034765,0.26377508,0.609309018,0.184541285,0.179457918,0.398121566,0.199789643,0.317525983,1
276,0.153051883,0.087566681,0.475291103,0.003524257,0.277727664,0.168931231,0.306329608,0.207113534,0.685747743,0.300557494,0.169914588,0.184540957,0.179439947,0.35735631,0.872184157,0.299765676,1
283,0.437924504,0.008875015,0.487986535,0.000111542,0.172963589,0.168915868,0.136113361,0.207112402,0.206031576,0.253558517,0.156221926,0.184539735,0.179460511,0.358324528,0.199787095,0.299654126,1
288,0.155309916,0.000555607,0.50874722,3.68E-08,0.172686115,0.168852866,0.136109963,0.207107261,0.206133917,0.259667277,0.155768752,0.184541166,0.179446891,0.357671887,0.19978033,0.29965359,1
292,0.153051808,0.009436606,0.475451142,0.000526514,0.172702879,0.168829739,0.136117935,0.207111806,0.206028193,0.989975989,0.442744613,0.184540272,0.17943731,0.356861889,0.199789748,0.328750759,1
325,0.969029009,0.023988068,0.523458958,1.69E-09,0.172654837,0.999776304,0.136127263,0.20710741,0.678005219,0.936915159,0.450083882,0.184540972,0.179427937,0.357614815,0.199775144,0.29965359,1
329,0.970569074,0.086992659,0.49158287,7.62E-06,0.172692254,0.168904379,0.136213914,0.207111761,0.344768256,0.275050879,0.352176368,0.18454124,0.179441333,0.357392043,0.199788257,0.299654365,1
369,0.23379834,0.230396912,0.526122987,8.07E-06,0.172688946,0.168924391,0.136106804,0.33171618,0.20613572,0.259976,0.259926528,0.184541285,0.17941983,0.393220156,0.199788749,0.299654305,1
372,0.181341648,0.004940186,0.483207464,0.000174083,0.948282957,0.168815538,0.136135891,0.207112715,0.206030905,0.999452174,0.156253591,0.970187545,0.179478958,0.357525587,0.199790567,0.299966037,0
415,0.153053865,0.005424066,0.48131457,0.000101332,0.172691494,0.168876097,0.136114955,0.207113564,0.206127256,0.275050879,0.198004723,0.18454124,0.179413721,0.357814878,0.199789181,0.299654245,1
435,0.317840368,0.639231086,0.492203623,3.76E-05,0.953404009,0.168803409,0.136121944,0.286936879,0.2061726,0.941398919,0.156221226,0.18454124,0.179455206,0.357985765,0.199782923,0.299654245,1
469,0.641848385,0.025931053,0.47918418,0.004240179,0.172692657,0.168919235,0.179115549,0.20711188,0.206783816,0.256367415,0.156393066,0.18454124,0.179449633,0.357492507,0.199793324,0.299654245,1
478,0.999799073,0.99885726,0.95402354,0.000126063,0.999952316,0.998479426,0.999946594,0.999788105,1,0.998308539,0.999216437,0.998082042,0.99996531,0.992271066,0.999057829,0.972143769,1
483,0.153051525,0.900880873,0.485520929,1.15E-05,0.172705129,0.168858945,0.136129051,0.207112134,0.206283838,0.77995342,0.156192064,0.184541404,0.179440022,0.357664615,0.199784249,0.299654305,1
504,0.153417215,0.000442011,0.495809346,6.72E-06,0.172694534,0.168873012,0.136120856,0.20711346,0.206018031,0.650102854,0.156262815,0.184541196,0.179446846,0.35787034,0.199785054,0.299653769,0
522,0.153048486,0.002105419,0.479169369,7.04E-06,0.172705159,0.168847233,0.136116475,0.207110807,0.206287116,0.253558546,0.194543496,0.184540391,0.179476216,0.357125372,0.199791849,0.318609297,1
523,0.961486936,0.024765136,0.66650933,0.005178892,0.31559366,0.168987408,0.136126548,0.207112059,0.272913516,0.275050879,0.750478923,0.184541285,0.179425552,0.48357293,0.199792713,0.568694949,1
546,0.153054476,0.011574863,0.692223489,6.84E-06,0.698396444,0.432503849,0.136113852,0.207107216,0.479123503,0.813911259,0.160305336,0.184541374,0.179419398,0.584153175,0.228799567,0.464100897,0
552,0.153051645,0.039059479,0.47695604,4.62E-10,0.172684163,0.168803394,0.136116609,0.207113028,0.206200644,0.2557199,0.155878082,0.18454133,0.179389745,0.357412249,0.199785292,0.299654126,1
555,0.163374975,0.124280073,0.619468272,0.00031055,0.361508787,0.457670838,0.136108175,0.259432703,0.566517472,0.99756372,0.223155603,0.371576071,0.179471031,0.798951328,0.36915949,0.611444473,1
574,0.989727557,0.008119354,0.598152876,0.000332545,0.172661826,0.504702091,0.136132702,0.513565302,0.76419723,0.415524781,0.835224748,0.184541151,0.179430038,0.655902267,0.199786395,0.32628265,1
606,0.153053284,0.011126912,0.483671874,5.28E-05,0.172703654,0.169007257,0.136119232,0.207113132,0.205991074,0.259042919,0.156171978,0.184541181,0.179455832,0.357574135,0.199790969,0.299654067,1
607,0.153052241,0.176010385,0.478318989,0.001280197,0.172705129,0.168981835,0.136115521,0.207113504,0.206036687,0.275050879,0.156280264,0.18454127,0.179437101,0.386599332,0.199792162,0.299654365,0
788,0.153051943,0.062488601,0.482269883,0.000647705,0.220235109,0.168901488,0.136135057,0.207113177,0.20621632,0.97000277,0.156163052,0.184541345,0.179450855,0.357794225,0.199786991,0.299654305,1
795,0.153053284,0.015297037,0.482629418,8.65E-05,0.172702536,0.169010773,0.136119559,0.207113609,0.206036568,0.279430509,0.156187847,0.184541166,0.179456264,0.357530892,0.199791521,0.299654126,1
812,0.216909647,0.034702506,0.481119692,7.75E-05,0.172705054,0.168970078,0.136111364,0.207112655,0.29271248,0.253558338,0.156218752,0.184541285,0.179453775,0.357184976,0.199793696,0.299654305,1
815,0.153048486,0.228206128,0.475363016,0.693247557,0.172704384,0.168970659,0.143001184,0.20711191,0.327702224,0.275050879,0.376129597,0.184541136,0.20016402,0.609200656,0.328948736,0.496915847,1
816,0.153048828,0.003770669,0.473701775,0.008793428,0.172699183,0.168970227,0.20064269,0.207113937,0.20651035,0.275260985,0.156320736,0.18454048,0.179468542,0.357434809,0.199791551,0.299654514,1
820,0.371143222,0.007803947,0.498380095,1.80E-05,0.172687113,0.168864727,0.136112884,0.207110435,0.304423541,0.275050879,0.156060353,0.184541285,0.179460093,0.357426047,0.199785903,0.299654037,1
830,0.156615749,3.52E-06,0.524865508,3.09E-11,0.172652349,0.168803439,0.136111692,0.207097292,0.206633553,0.275062323,0.154944271,0.184540555,0.179430351,0.35830608,0.199768439,0.29965353,1
833,0.218833983,0.006283146,0.491669923,8.99E-06,0.172688499,0.168823361,0.136110082,0.207109883,0.302744716,0.998385191,0.156054392,0.184541345,0.179408073,0.471383989,0.19978179,0.299654305,1
939,0.153050736,0.001793383,0.479379594,0.000580322,0.172702357,0.168817565,0.136122972,0.207113951,0.206126571,0.986839592,0.156193018,0.184540331,0.179475397,0.357722491,0.19979094,0.299654484,1
961,0.946655929,0.13457413,0.744229376,3.36E-07,0.961501002,0.168889776,0.660624564,0.582760572,0.205971763,0.999683499,0.524808705,0.92203927,0.86489892,0.724741697,0.199785173,0.686998665,1
965,0.999994159,0.9956761,0.93379879,0.015424423,0.998806834,0.998988807,0.99991262,0.99708122,0.999949932,0.999980569,0.999357522,0.993670821,0.999974847,0.953558743,0.663337529,0.985449016,1
973,0.153050959,8.11E-05,0.479557395,0.003610108,0.172689244,0.168803483,0.136111632,0.207114398,0.206269249,0.255705625,0.156213909,0.184540838,0.179453194,0.358140081,0.199785352,0.299654067,1
981,0.384256601,0.94839108,0.618765235,2.19E-07,0.226472318,0.178891033,0.148715228,0.616745949,0.700417221,0.260029018,0.351197928,0.18454124,0.179418206,0.583808064,0.675398469,0.485017836,1
985,0.412418485,0.497066528,0.480648518,0.001060323,0.474532157,0.362851471,0.937693298,0.588782072,0.398656577,0.345003873,0.73814249,0.184541136,0.190904304,0.374709755,0.628038824,0.400325418,1
993,0.153052211,1.72E-05,0.481699914,3.93E-05,0.172677606,0.168906227,0.136122242,0.207109958,0.206050083,0.257813424,0.155988932,0.184541017,0.179449767,0.358262151,0.199790329,0.299653709,1
999,0.993424654,0.955220163,0.752221346,1.77E-05,0.525165558,0.918307722,0.461759925,0.935900271,0.992693305,0.259490699,0.804729998,0.522266984,0.655655861,0.660583675,0.919709206,0.693060338,0
1003,0.183671668,0.096254684,0.503411829,0.002812755,0.626560926,0.641509593,0.162985876,0.207111135,0.344004154,0.275050879,0.159478143,0.184541345,0.260497093,0.392734081,0.288388997,0.299654365,1
1035,0.870395958,0.145200044,0.47899282,0.000485627,0.734063864,0.16900073,0.223769203,0.386716813,0.582010388,0.999237418,0.993541479,0.18454127,0.179439142,0.357194841,0.199789718,0.299892634,1
1038,0.413063824,0.097588062,0.480770051,6.81E-06,0.895115018,0.168920159,0.136115909,0.20711264,0.256621957,0.405626565,0.156222433,0.977016866,0.179470912,0.357479215,0.199787393,0.299654484,1
1056,0.155328825,0.000388926,0.519056976,1.86E-06,0.172632918,0.168803319,0.136137158,0.207094163,0.206614718,0.891933799,0.154829741,0.184539542,0.179443464,0.359239578,0.199766651,0.299653649,1
1091,0.280899853,0.00170344,0.476277918,0.000200548,0.172703356,0.168824792,0.136114925,0.207111657,0.206083432,0.284597218,0.155831173,0.184541121,0.179416701,0.356690735,0.199786574,0.299654484,1
1104,0.619726479,0.015283597,0.545811892,3.75E-10,0.172648206,0.168803543,0.183113694,0.342195064,0.839627981,0.27505818,0.166941389,0.184540972,0.179433554,0.357733935,0.19977437,0.29965356,1
1108,0.154015556,4.14E-05,0.527312875,8.78E-09,0.172653034,0.168803424,0.136111155,0.207100227,0.2066551,0.275059819,0.155760229,0.184540719,0.179458156,0.358757019,0.199768126,0.29965356,1
1116,0.311849326,0.002827697,0.498194754,4.35E-05,0.172699139,0.168803528,0.136121288,0.207112759,0.206128657,0.253558427,0.286201149,0.18453972,0.179473966,0.358135939,0.199784204,0.299653888,1
1123,0.619287431,0.039735556,0.482244283,0.000503264,0.172703847,0.168965891,0.136108652,0.207111001,0.471779108,0.253558308,0.185539946,0.184541032,0.17946209,0.357318163,0.199790359,0.299654186,1
1127,0.153236315,0.038195193,0.493183374,0.000736946,0.196484059,0.168948531,0.136112675,0.207113251,0.206074625,0.275050879,0.156372979,0.184541181,0.179448709,0.357079357,0.199786395,0.299654156,1
1141,0.985651851,0.956874549,0.732335925,6.49E-07,0.935378075,0.336610109,0.925723791,0.763382792,0.982054889,0.936558485,0.942691386,0.235103548,0.743758738,0.858345211,0.802174866,0.66358,1
1174,0.153048888,0.052138541,0.476664931,0.00034702,0.172705308,0.168859899,0.13611187,0.207113087,0.206039071,0.258793503,0.349438071,0.184540257,0.179480061,0.357149661,0.199793383,0.321233213,1
1180,0.153053954,0.309846073,0.476370901,0.000519886,0.318155557,0.16896899,0.136110947,0.207111403,0.355211854,0.275050879,0.156232759,0.184540913,0.179462656,0.356952995,0.324346244,0.299654424,1
1182,0.623259902,0.02598818,0.478684455,0.000121947,0.172705024,0.168984875,0.136112332,0.207111806,0.271568209,0.253558367,0.156227171,0.184541136,0.179457456,0.385256588,0.19979161,0.299654454,1
1183,0.186149955,0.105596811,0.46783033,2.83E-06,0.172699451,0.169009119,0.199116468,0.207110405,0.327831447,1,0.354686588,0.184540316,0.179471359,0.358629823,0.664096475,0.334165871,1
1219,0.350719362,0.003476668,0.576571882,3.48E-05,0.200356871,0.168894559,0.136111259,0.207112059,0.205944419,0.27505371,0.156394124,0.184540883,0.179431662,0.386799008,0.199784338,0.299654186,1
1221,0.973874927,0.995586514,0.729308724,1.81E-06,0.337905914,0.168897346,0.999601305,0.982123196,0.999429524,0.882071078,0.99998188,0.18454133,0.992848158,0.869558394,0.994339168,0.79678899,1
1388,0.241506904,0.000471245,0.501498103,5.74E-07,0.172667444,0.168803588,0.136107922,0.207109809,0.206403315,0.925746977,0.156255081,0.184541062,0.17941907,0.359226853,0.19977504,0.299653649,1
1389,0.153052166,0.208998114,0.476889074,0.004473627,0.172705129,0.168966874,0.136125058,0.207112804,0.206062466,0.860518396,0.29129234,0.184541285,0.17945224,0.357474238,0.199789226,0.299654424,1
1411,0.999993086,0.997147977,0.906672299,0.000349678,0.998058856,0.989165366,0.999237418,0.999606192,0.999957561,0.998945296,0.996925533,0.975075781,0.999980569,0.959244013,0.997742176,0.960237503,0
1439,0.153938875,0.000160395,0.486182004,8.92E-08,0.172683537,0.168803617,0.136130214,0.207112134,0.206163913,0.253558815,0.206047192,0.184540913,0.179461181,0.35772717,0.199785754,0.299653947,1
1440,0.988790393,0.968206942,0.686767042,6.06E-05,0.998814821,0.677403748,0.99723345,0.995172799,0.999455273,0.999998927,0.971403003,0.7536304,0.995979428,0.711660802,0.951538146,0.871942401,0
1468,0.868431568,0.964545429,0.868332982,0.00257523,0.440276086,0.876542926,0.949457169,0.956554294,0.993742406,0.999999762,0.911415875,0.571514368,0.807145655,0.569380879,0.888115525,0.866702378,1
1470,0.999416232,0.999658942,0.931625247,0.001734887,0.995176554,1,0.999984264,0.996661544,1,0.999999046,0.99890852,0.999996901,0.999733269,0.976060808,0.999725521,0.957193136,1
1478,0.99021554,0.991281092,0.918817818,0.000678466,0.947086692,0.441918641,0.999685287,0.953366399,0.995393276,0.999982476,0.999814093,0.993076801,0.996039748,0.935890853,0.999953628,0.922500193,1
1480,0.662305355,0.001816726,0.524170458,3.38E-10,0.172632977,0.168803319,0.136141166,0.207097113,0.206725106,0.998686492,0.15460135,0.184541181,0.179438561,0.359535962,0.199764058,0.299653649,1
1484,0.640371382,0.555793166,0.478731543,0.000851355,0.177850485,0.168989822,0.136119813,0.20711188,0.565137386,0.299737185,0.403009921,0.18454124,0.179454952,0.357486874,0.199791387,0.299821734,1
1530,0.153125778,3.63E-05,0.49751386,8.49E-05,0.172687367,0.168803737,0.136118978,0.207101986,0.206490532,0.275052994,0.155913264,0.18454057,0.179425076,0.358471751,0.199774608,0.299653739,1
1541,0.999979138,0.999902487,0.970049739,0.003085166,0.999590337,0.999999642,1,0.999998093,1,0.991560996,0.999996305,0.999904752,0.999994874,0.992414057,0.999981761,0.995236099,1
1545,0.225389019,0.04187841,0.46740678,0.000486798,0.172690421,0.16897516,0.260583013,0.236611903,0.284939438,0.253558606,0.304545581,0.184540257,0.179462031,0.451009631,0.199783802,0.306892991,1
1548,0.153051689,0.096557647,0.480054408,0.000161545,0.172702357,0.168945521,0.136113584,0.207113057,0.206054419,0.253558338,0.157930121,0.18454124,0.17945528,0.357813299,0.199792489,0.299654096,1
1554,0.153050736,0.001141188,0.481935978,0.00137341,0.172692731,0.169008777,0.136122465,0.207112014,0.206099287,0.253558606,0.15615125,0.18454124,0.179463312,0.358180642,0.199791774,0.299653739,1
1556,0.153051153,0.16373986,0.475584656,3.14E-06,0.285788983,0.168968424,0.136110812,0.556372225,0.756095529,0.265819222,0.551312387,0.511093616,0.237537816,0.491341025,0.360700488,0.471192777,1
2380,0.153053612,0.00432492,0.471848935,0.000521045,0.172678649,0.169002652,0.136490166,0.207108259,0.235318929,0.253558457,0.156340286,0.184541345,0.179435119,0.358009696,0.200644568,0.299654156,1
2406,0.758736253,0.996907532,0.949174285,0.001023857,0.89445132,0.999985218,0.997800171,0.712696552,0.999986649,1,0.99998033,0.997781336,0.998417139,0.935147524,0.992319167,0.947825491,1
2407,0.175533667,0.181824148,0.471917361,0.005356092,0.712599993,0.624746978,0.501715541,0.686959028,0.562753022,0.995516002,0.945520401,0.27503559,0.507665157,0.510997057,0.951371849,0.512174428,0
2409,0.972720444,0.989816308,0.834235132,0.021356229,0.999802172,0.979619622,0.999291062,0.993341863,0.999504805,0.997755826,0.999721587,0.997499287,0.994134963,0.956174433,0.997619092,0.936774433,1
2439,0.999965072,0.96342355,0.895336866,0.048050698,0.999658823,0.999530196,0.999601424,0.994233787,0.999976754,0.99010998,0.999416709,0.952845216,0.999983191,0.964455247,0.995075881,0.965463459,1
2445,0.983141303,0.994394183,0.966845393,0.089722663,0.997079134,0.998431861,0.999999881,0.993270099,0.999991059,0.274905354,0.999973059,0.999712169,0.993625998,0.983541787,0.999752223,0.982051551,1
2447,0.713029504,0.993160844,0.904563904,0.000391357,0.998601258,0.988358319,0.996387362,0.999948859,0.999711931,1,0.999943614,0.999999523,0.982602715,0.845453322,0.99784112,0.724588335,1
2449,0.682940483,0.60819751,0.677507818,0.005742621,0.986923754,0.66611433,0.403265744,0.20711033,0.703962088,0.999987721,0.991718411,0.994974852,0.227000654,0.764485061,0.792301953,0.706222832,0
2515,0.19971393,0.115699798,0.480336457,0.001812893,0.172699511,0.168964863,0.136109382,0.581407487,0.206965342,0.275050879,0.193722352,0.184541151,0.179469809,0.420224786,0.199793532,0.429252386,1
2532,0.791545331,0.977759123,0.923826516,0.521544755,0.993472576,0.502360284,0.999961972,0.965684652,0.999101281,0.74838227,0.994172037,0.976669014,0.9779073,0.922930717,0.984807611,0.90376544,1
2564,0.807165265,0.97958988,0.923098147,0.148298308,0.99687922,0.995870888,0.999565303,0.988478005,0.996710658,0.875946522,0.999761522,0.99999392,0.994223297,0.958997786,0.999466121,0.87708348,1
2570,0.999619365,0.980535865,0.900838614,0.002704144,0.944445133,0.168834612,0.999790609,0.845090628,0.99957782,1,0.999234557,0.504890859,0.179439709,0.980563641,0.973392069,0.971928179,1
2572,0.999896884,0.995796561,0.918858171,0.019955408,0.999345124,0.357446134,0.999999285,0.999527812,0.999990702,0.999261081,0.999988079,0.999397993,0.970850766,0.987177253,0.999680519,0.987596393,1
2586,0.63554424,0.136022732,0.467215925,0.018948168,0.252674013,0.169017255,0.798337936,0.494671077,0.502159417,0.986514866,0.943673611,0.3491216,0.479413092,0.468071222,0.677496433,0.348092347,1
2592,0.999995828,0.994997263,0.946747303,0.030427052,0.999964356,0.999762833,0.999976158,0.998707891,0.999996066,0.998374104,0.999962091,0.998197377,0.999998331,0.98607868,0.999867201,0.984737694,1
2602,0.979055822,0.982923806,0.920109689,0.000141099,0.999975443,0.791550159,0.999562204,0.947959661,0.999987483,0.991131246,0.998269796,0.96547538,0.999461472,0.972426832,0.965903163,0.970873117,1
2645,0.995758712,0.954416156,0.826077998,5.57E-06,0.990113258,0.945302963,0.96715641,0.951861501,0.995901883,0.995701611,0.959678054,0.707069695,0.948869407,0.894396544,0.94509536,0.795442522,0
2647,0.945934296,0.459458768,0.483650893,0.006260753,0.470943779,0.168919757,0.898673654,0.424833626,0.620274305,0.262189746,0.702166259,0.18454124,0.179442018,0.507810771,0.37026456,0.299654067,0
2666,0.99976927,0.980121374,0.908441722,0.001408687,0.99689132,0.685928762,0.999036312,0.998096764,0.999996662,0.999999881,0.999395132,0.954004169,0.998021603,0.981546223,0.996521115,0.970484376,0
2670,0.648791969,0.509864271,0.908231139,0.000535,0.515440404,0.749351621,0.986738205,0.956635416,0.947220862,0.999980807,0.856033444,0.705227256,0.777718723,0.803202987,0.329436123,0.719422817,1
2674,0.153048486,0.885772526,0.507264435,0.011309776,0.937316418,0.973942399,0.99307704,0.713497698,0.995245159,0.262518078,0.971770644,0.655025065,0.959397733,0.792265058,0.98490566,0.562046409,1
2678,0.999999762,0.998015761,0.982686162,2.03E-06,0.998784125,0.99946636,0.999986529,0.999588549,1,0.999994755,0.999994397,0.999284089,0.999999046,0.997353315,0.999999285,0.996816576,1
2684,0.992947698,0.870993316,0.479579717,0.006810569,0.746057451,0.683767736,0.807588398,0.739667952,0.902200997,0.998224318,0.854302943,0.777596176,0.893738389,0.374522418,0.876196861,0.426638842,1
2686,0.983594358,0.406357348,0.899077713,7.24E-05,0.995273888,0.504118621,0.926580369,0.905789018,0.979867935,0.999999046,0.954408467,0.996358335,0.560686111,0.78225702,0.969202876,0.54910326,1
2701,0.973847568,0.541524708,0.872965217,2.74E-09,0.962323546,0.960767925,0.946945012,0.57223314,0.955336034,1,0.920867682,0.99234581,0.845324814,0.54567045,0.960493028,0.716204643,1
2706,0.999924898,0.994599223,0.946035326,0.000632614,0.999498487,0.999246955,0.999633312,0.999277651,0.999990225,0.992594898,0.998806477,0.999365747,0.999951363,0.986041605,0.998134851,0.981725037,1
2715,0.994681656,0.973650753,0.63761127,0.003411908,0.999885082,0.986339331,0.999923944,0.990839541,0.998114944,1,0.9992823,0.997471094,0.996537209,0.814795911,0.999020934,0.950837195,0
